"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE043A01012","500160","GTL","GTL LTD","14.18","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE791I01019","532929","BRIGADE","BRIGADE ENTERPRISES LTD","1249.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE661I01014","532930","BGRENERGY","BGR ENERGY SYSTEMS LTD","42.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE260B01028","500163","GODFRYPHLP","GODFREY PHILLIPS INDIA LTD","4315.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE233A01035","500164","GODREJIND","GODREJ INDUSTRIES LTD","894.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE531A01024","500165","KANSAINER","KANSAI NEROLAC PAINTS LTD","275.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE300A01016","500166","GOODRICKE","GOODRICKE GROUP LTD","195.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE298I01015","532935","ARIES","ARIES AGRO LTD","283.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE533A01012","500168","GOODYEAR","GOODYEAR INDIA LTD","1188.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE529I01021","532937","KUANTUM","KUANTUM PAPERS LTD","160.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE537A01013","500170","GTNINDS","GTN INDUSTRIES LTD","36.75","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE539A01019","500171","GHCL","GHCL LTD","542.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE576I01022","532940","JKIL","JKUMAR INFRAPROJECTS LTD","844.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE538A01037","500173","GFLLIMITED","GFL LIMITED","76.12","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE540A01017","500174","GLFL","GUJARAT LEASE FINANCING LTD","8.06","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE809I01019","532944","ONMOBILE","ONMOBILE","89.16","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE964H01014","532945","SEPC","SEPC LIMITED","21.77","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE236A01020","500179","HCL-INSYS","HCL INFOSYSTEMS LTD","16.94","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE040A01034","500180","HDFCBANK","HDFC BANK LTD","1617.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE158A01026","500182","HEROMOTOCO","HERO MOTOCORP LTD","5475.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE548A01028","500183","HFCL","HFCL LIMITED","123.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE019C01026","500184","HSCL","HIMADRI SPECIALITY CHEMICAL LT","422.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE549A01026","500185","HCC","HINDUSTAN CONSTRUCTION COLTD","55.36","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE345A01011","500186","HINDOILEXP","HINDUSTAN OIL EXPLORATION COL","266.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE415A01038","500187","AGI","AGI GREENPAC LIMITED","797.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE267A01025","500188","HINDZINC","HINDUSTAN ZINC LTD","603.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE353A01023","500189","NDLVENTURE","NDL VENTURES LIMITED","112.2","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE262A01018","500191","HMT","HMT LTD","84.95","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE962B01011","500192","PRAGBOS","PRAG BOSIMI SYNTHETICS LTD","3.16","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE102A01024","500193","HLVLTD","HLV LIMITED","21.97","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE015L07568","957179","2EARCL27F","EARCL2201127PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE891K08208","975759","835AFL34","AFL83523634PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE615H01020","532966","TITAGARH","TITAGARH RAIL SYSTEMS LIMITED","1611.1","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE204A01010","500199","IGPL","I G PETROCHEMICALS LTD","637.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0CCU07074","974668","802MBPR26","MBPR80213426REIT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE560A01015","500201","INDIAGLYCO","INDIA GLYCOLS LTD","1149.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE333C01013","500202","INDLEASE","INDIA LEASE DEVELOPMENT LTD","8.94","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE680B01019","500206","MARGOFIN","MARGO FINANCE LIMITED","45.4","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE156A01020","500207","INDORAMA","INDO RAMA SYNTHETICS INDIA L","48.69","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE091G01018","532976","JAIBALAJI","JAI BALAJI INDUSTRIES LTD","916.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE009A01021","500209","INFY","INFOSYS LTD","1878.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE177A01018","500210","INGERRAND","INGERSOLLRAND INDIA LTD","4242.95","",,"0.05","1","EQUITY",,"BSE_EQ"
